ID,Name,Code,Display Name,Active
9333,Cheadle (2304) Checkout Installation 2016,TBC,Cheadle (2304) Checkout Installation 2016,True
7523,Crystal Palace (507) Roof Refurbishment 2016,TBC,Crystal Palace (507) Roof Refurbishment 2016,True
8989,Hampden Park (0062) Lloyds Rebrand Project  2016,TBC,Hampden Park (0062) Lloyds Rebrand Project  2016,True
7522,Kempston (757) Roof Refurbishment 2016,TBC,Kempston (757) Roof Refurbishment 2016,True
4788,Leamington (0503) GM & Clothing Rollback 13/14,TBC,Leamington (0503) GM & Clothing Rollback 13/14,True
7524,Oldbury (558) Roof Refurbishment 2016,TBC,Oldbury (558) Roof Refurbishment 2016,True
8426,Perry Road (2194) Graphite - PV Installation 2016,TBC,Perry Road (2194) Graphite - PV Installation 2016,True
10998,Pontllanfraith (2225) Argos Store in Store 2018,TBC,Pontllanfraith (2225) Argos Store in Store 2018,True
9038,Rugby(0514) Lloyds Rebrand Project 2016,TBC,Rugby(0514) Lloyds Rebrand Project 2016,True
9321,Shorehead (0793) Checkout Installation 2016,TBC,Shorehead (0793) Checkout Installation 2016,True
11068,Wandsworth Road (4017) Refurb 2017,TBC,Wandsworth Road (4017) Refurb 2017,True
9335,West Hove (0051) Checkout Installation 2016,TBC,West Hove (0051) Checkout Installation 2016,True
556,120 Old Broad Street,4300,120 Old Broad Street,True
4348,16th Floor - Arndale Centre,TBC,16th Floor - Arndale Centre,True
4349,17th Floor - Arndale Centre,TBC,17th Floor - Arndale Centre,True
4350,18th Floor - Arndale Centre,TBC,18th Floor - Arndale Centre,True
4343,1st Floor - Holborn Store Support Centre,TBC,1st Floor - Holborn Store Support Centre,True
692,233 Watford Road,201306,233 Watford Road,True
306,295-297 Fulham Road,2935,295-297 Fulham Road,True
555,30 Embankment Place,3260,30 Embankment Place,True
696,33 Clapham High Street,201438,33 Clapham High Street,True
705,377 High Road  Kilburn,203617,377 High Road  Kilburn,True
554,68/74 Salisbury Road,201913,68/74 Salisbury Road,True
4342,8th Floor - Holborn Store Support Centre,TBC,8th Floor - Holborn Store Support Centre,True
679,AA Beach Generic,300000X,AA Beach Generic,True
2835,Abbeville Wandsworth Road Local () New 11/12,TBC,Abbeville Wandsworth Road Local () New 11/12,True
5635,Abbey Wood () New Store 2014,TBC,Abbey Wood () New Store 2014,True
11074,Abbey Wood (2327) CSD Removal 2018,TBC,Abbey Wood (2327) CSD Removal 2018,True
11912,Abbey Wood (2327) DSIB Roll Out 2018,TBC,Abbey Wood (2327) DSIB Roll Out 2018,True
7777,Abbey Wood (2327) Project Amp 2016,TBC,Abbey Wood (2327) Project Amp 2016,True
3666,Aberdeen - Holburn St Local () New 11/12,TBC,Aberdeen - Holburn St Local () New 11/12,True
9573,Aberdeen (0524) Costa Rollout Phase 2&3 16/17,TBC,Aberdeen (0524) Costa Rollout Phase 2&3 16/17,True
10412,Aberdeen (A883) SC1 Argos'17/18,TBC,Aberdeen (A883) SC1 Argos'17/18,True
3853,Aberdeen Alford Place Local () New 2012,TBC,Aberdeen Alford Place Local () New 2012,True
6271,Aberdeen Cove Local (6116) New 2015,TBC,Aberdeen Cove Local (6116) New 2015,True
2912,Aberdeen George St Local (4676) New Build 2011,TBC,Aberdeen George St Local (4676) New Build 2011,True
5063,Aberdeen Guild Street () New Build 2014,TBC,Aberdeen Guild Street () New Build 2014,True
5938,Aberdeen Kintore Local (4566) New 2015,TBC,Aberdeen Kintore Local (4566) New 2015,True
5937,Aberdeen North Deeside Rd (6128) New Local 2015,TBC,Aberdeen North Deeside Rd (6128) New Local 2015,True
2724,Aberdeen Rosemount Local (4935) New 2010,TBC,Aberdeen Rosemount Local (4935) New 2010,True
5740,Aberdeen St Nicholas Local (4961) Refurb 2015,TBC,Aberdeen St Nicholas Local (4961) Refurb 2015,True
12345,Aberdeen Union St (4906) Small Works 2018,TBC,Aberdeen Union St (4906) Small Works 2018,True
2143,Aberdeen  Union Street,TBC,Aberdeen  Union Street,True
7260,Acklam Road Local (4610) Project Graphite 2016,TBC,Acklam Road Local (4610) Project Graphite 2016,True
4341,Acklam Road Local (4610) Refurb 2013,TBC,Acklam Road Local (4610) Refurb 2013,True
3288,Acocks Green (2120)  Multi Phase 2011,TBC,Acocks Green (2120)  Multi Phase 2011,True
10349,Acocks Green (2120) Capital Roofing Works 2017,TBC,Acocks Green (2120) Capital Roofing Works 2017,True
1177,Acocks Green (2120) Checkout Works 2007,A2120,Acocks Green (2120) Checkout Works 2007,True
11507,Acocks Green (2120) DSIB Roll Out 2018,TBC,Acocks Green (2120) DSIB Roll Out 2018,True
5515,Acocks Green (2120) Lifts 2015,TBC,Acocks Green (2120) Lifts 2015,True
8754,Acocks Green (2120) Lloyds Rebrand Project 2016,TBC,Acocks Green (2120) Lloyds Rebrand Project 2016,True
857,Acocks Green (2120) Safeway Conversion 2005,tba,Acocks Green (2120) Safeway Conversion 2005,True
2458,Acocks Green (2120) Self Scan 2010,TBC,Acocks Green (2120) Self Scan 2010,True
6886,Acocks Green RRS (2120) 2016,TBC,Acocks Green RRS (2120) 2016,True
11075,Acocks Grn (2120) CSD Removal 2018,TBC,Acocks Grn (2120) CSD Removal 2018,True
8687,Acre St Local (4686) ATM Trial 2016,TBC,Acre St Local (4686) ATM Trial 2016,True
1677,Acre St Local (4686) Extension 2009,TBC,Acre St Local (4686) Extension 2009,True
7246,Acre Street Local (4686) Project Graphite 2016,TBC,Acre Street Local (4686) Project Graphite 2016,True
10246,Acton Churchfield Road (4249) Light touch'17/18,TBC,Acton Churchfield Road (4249) Light touch'17/18,True
12354,Acton Gardens (4368) New Build Convenience 2018,TBC,Acton Gardens (4368) New Build Convenience 2018,True
9748,Acton Horn Lane () New Store' 16/17,TBC,Acton Horn Lane () New Store' 16/17,True
10602,Acton Palmerston rd (6212) Convenience 2017,TBC,Acton Palmerston rd (6212) Convenience 2017,True
10879,Acton Town Station (4255) Small Works 2017,TBC,Acton Town Station (4255) Small Works 2017,True
3844,Acton Town Station Local () New 2012,TBC,Acton Town Station Local () New 2012,True
1916,Addiscombe Local,TBC,Addiscombe Local,True
7638,Addiscombe Local (4941) EPOS V4 16/17,TBC,Addiscombe Local (4941) EPOS V4 16/17,True
4101,Albert Road Local () New 12/13,TBC,Albert Road Local () New 12/13,True
8601,Alcaster Road Local (4059) ATM Work 2016,TBC,Alcaster Road Local (4059) ATM Work 2016,True
464,Alcester Rd Local (4059) New Build 08/02/2005,3271,Alcester Rd Local (4059) New Build 08/02/2005,True
8528,Alcester Road (4059) ATM's 15/16,TBC,Alcester Road (4059) ATM's 15/16,True
6441,Alcester Road (4059) CR Wall 2015,TBC,Alcester Road (4059) CR Wall 2015,True
11477,Alcester Road (4059) Plant Exchange 2018,TBC,Alcester Road (4059) Plant Exchange 2018,True
4591,Alcester Road (4059) Refurb 2013,TBC,Alcester Road (4059) Refurb 2013,True
4128,Alcester Road Local Pest Proofing 2012,TBC,Alcester Road Local Pest Proofing 2012,True
4804,Aldershot Ash Road Local () New Build 2014,TBC,Aldershot Ash Road Local () New Build 2014,True
332,Allington RDC,tba,Allington RDC,True
151,Allington Street Local (4004) Multi Phase 2003,4004,Allington Street Local (4004) Multi Phase 2003,True
837,Allington Street Local (4004) Refurb 2005,A04065,Allington Street Local (4004) Refurb 2005,True
5011,Alnwick () 2013,TBC,Alnwick () 2013,True
3107,Alnwick (2177)  Multi Phase 2011,TBC,Alnwick (2177)  Multi Phase 2011,True
6482,Alnwick (2177) Biomass 2015,TBC,Alnwick (2177) Biomass 2015,True
11709,Alnwick (2177) DSIB Roll Out 2018,TBC,Alnwick (2177) DSIB Roll Out 2018,True
7607,Alnwick (2177) EPOS V4 16/17,TBC,Alnwick (2177) EPOS V4 16/17,True
1281,Alnwick (2177) Feasibility 2007,205040,Alnwick (2177) Feasibility 2007,True
6275,Alnwick (2177) HVAC 2015,TBC,Alnwick (2177) HVAC 2015,True
1179,Alnwick (2177) New Build Depot 2008,201510,Alnwick (2177) New Build Depot 2008,True
1387,Alnwick (2177) Shell,205040,Alnwick (2177) Shell,True
4082,ALPERTON - GOL Space Optimisation Project 2012,TBC,ALPERTON - GOL Space Optimisation Project 2012,True
3108,Alperton (0646)  Multi Phase 2011,TBC,Alperton (0646)  Multi Phase 2011,True
10567,Alperton (0646) Argos Concession Quarter 1 2017,TBC,Alperton (0646) Argos Concession Quarter 1 2017,True
8632,Alperton (0646) Click & Collect 2016,TBC,Alperton (0646) Click & Collect 2016,True
9549,Alperton (0646) Costa Rollout Phase 2 & 3 16/17,TBC,Alperton (0646) Costa Rollout Phase 2 & 3 16/17,True
11508,Alperton (0646) DSIB Roll Out 2018,TBC,Alperton (0646) DSIB Roll Out 2018,True
5981,Alperton (0646) Future Trial 2015,TBC,Alperton (0646) Future Trial 2015,True
9000,Alperton (0646) Lloyds Rebrand Project  2016,TBC,Alperton (0646) Lloyds Rebrand Project  2016,True
10701,Alperton (0646) Phoneshop Closure Programme 2017,TBC,Alperton (0646) Phoneshop Closure Programme 2017,True
7848,Alperton (0646) Project Amp 2016,TBC,Alperton (0646) Project Amp 2016,True
10069,Alperton (0646) Solar Belisha Beacon 2017,TBC,Alperton (0646) Solar Belisha Beacon 2017,True
4753,Alperton (0648) HVAC Works 2011,TBC,Alperton (0648) HVAC Works 2011,True
234,Alperton (646) Multi Phase 14/02/2005,646,Alperton (646) Multi Phase 14/02/2005,True
